mL,mAU
2.039,-0.055944444
2.046,-0.057944444
2.053,-0.056944444
2.06,-0.054944444
2.067,-0.052944444
2.074,-0.051944444
2.081,-0.050944444
2.088,-0.050944444
2.095,-0.054944444
2.102,-0.057944444
2.109,-0.060944444
2.116,-0.059944444
2.123,-0.054944444
2.13,-0.051944444
2.137,-0.050944444
2.144,-0.051944444
2.151,-0.053944444
2.158,-0.055944444
2.165,-0.057944444
2.172,-0.056944444
2.179,-0.055944444
2.186,-0.053944444
2.193,-0.052944444
2.2,-0.050944444
2.207,-0.048944444
2.214,-0.048944444
2.221,-0.049944444
2.228,-0.050944444
2.235,-0.051944444
2.242,-0.053944444
2.249,-0.054944444
2.256,-0.052944444
2.263,-0.055944444
2.27,-0.056944444
2.277,-0.057944444
2.284,-0.056944444
2.291,-0.054944444
2.298,-0.052944444
2.305,-0.052944444
2.312,-0.051944444
2.319,-0.051944444
2.326,-0.054944444
2.333,-0.054944444
2.34,-0.054944444
2.347,-0.054944444
2.354,-0.055944444
2.361,-0.055944444
2.369,-0.055944444
2.376,-0.051944444
2.383,-0.049944444
2.39,-0.048944444
2.397,-0.049944444
2.404,-0.050944444
2.411,-0.049944444
2.418,-0.048944444
2.425,-0.048944444
2.432,-0.048944444
2.439,-0.049944444
2.446,-0.050944444
2.453,-0.050944444
2.46,-0.050944444
2.467,-0.049944444
2.474,-0.047944444
2.481,-0.047944444
2.488,-0.049944444
2.495,-0.051944444
2.502,-0.051944444
2.509,-0.051944444
2.516,-0.052944444
2.523,-0.053944444
2.53,-0.053944444
2.537,-0.052944444
2.544,-0.052944444
2.551,-0.052944444
2.558,-0.051944444
2.565,-0.052944444
2.572,-0.053944444
2.579,-0.053944444
2.586,-0.051944444
2.593,-0.047944444
2.6,-0.045944444
2.607,-0.046944444
2.614,-0.045944444
2.621,-0.047944444
2.628,-0.049944444
2.635,-0.050944444
2.642,-0.051944444
2.649,-0.050944444
2.656,-0.047944444
2.663,-0.046944444
2.67,-0.044944444
2.677,-0.041944444
2.684,-0.044944444
2.691,-0.046944444
2.698,-0.048944444
2.705,-0.045944444
2.712,-0.046944444
2.719,-0.048944444
2.726,-0.050944444
2.733,-0.047944444
2.74,-0.046944444
2.747,-0.047944444
2.754,-0.047944444
2.761,-0.048944444
2.768,-0.049944444
2.775,-0.051944444
2.783,-0.050944444
2.79,-0.050944444
2.797,-0.052944444
2.804,-0.051944444
2.811,-0.048944444
2.818,-0.043944444
2.825,-0.042944444
2.832,-0.041944444
2.839,-0.041944444
2.846,-0.044944444
2.853,-0.045944444
2.86,-0.043944444
2.867,-0.038944444
2.874,-0.040944444
2.881,-0.041944444
2.888,-0.043944444
2.895,-0.047944444
2.902,-0.048944444
2.909,-0.047944444
2.916,-0.045944444
2.923,-0.046944444
2.93,-0.047944444
2.937,-0.048944444
2.944,-0.052944444
2.951,-0.054944444
2.958,-0.055944444
2.965,-0.056944444
2.972,-0.054944444
2.979,-0.052944444
2.986,-0.053944444
2.993,-0.051944444
3,-0.049944444
3.007,-0.048944444
3.014,-0.049944444
3.021,-0.050944444
3.028,-0.051944444
3.035,-0.050944444
3.042,-0.049944444
3.049,-0.050944444
3.056,-0.053944444
3.063,-0.055944444
3.07,-0.057944444
3.077,-0.058944444
3.084,-0.056944444
3.091,-0.055944444
3.098,-0.055944444
3.105,-0.057944444
3.112,-0.054944444
3.119,-0.051944444
3.126,-0.049944444
3.133,-0.048944444
3.14,-0.050944444
3.147,-0.056944444
3.154,-0.057944444
3.161,-0.057944444
3.168,-0.056944444
3.175,-0.055944444
3.182,-0.056944444
3.19,-0.057944444
3.197,-0.056944444
3.204,-0.059944444
3.211,-0.060944444
3.218,-0.059944444
3.225,-0.052944444
3.232,-0.050944444
3.239,-0.049944444
3.246,-0.047944444
3.253,-0.047944444
3.26,-0.047944444
3.267,-0.048944444
3.274,-0.049944444
3.281,-0.048944444
3.288,-0.046944444
3.295,-0.045944444
3.302,-0.044944444
3.309,-0.042944444
3.316,-0.042944444
3.323,-0.043944444
3.33,-0.046944444
3.337,-0.052944444
3.344,-0.052944444
3.351,-0.052944444
3.358,-0.051944444
3.365,-0.045944444
3.372,-0.041944444
3.379,-0.039944444
3.386,-0.037944444
3.393,-0.038944444
3.4,-0.040944444
3.407,-0.041944444
3.414,-0.044944444
3.421,-0.045944444
3.428,-0.046944444
3.435,-0.045944444
3.442,-0.044944444
3.449,-0.044944444
3.456,-0.044944444
3.463,-0.043944444
3.47,-0.042944444
3.477,-0.039944444
3.484,-0.038944444
3.491,-0.039944444
3.498,-0.040944444
3.505,-0.041944444
3.512,-0.039944444
3.519,-0.039944444
3.526,-0.042944444
3.533,-0.045944444
3.54,-0.046944444
3.547,-0.046944444
3.554,-0.045944444
3.561,-0.047944444
3.568,-0.049944444
3.575,-0.048944444
3.582,-0.045944444
3.589,-0.042944444
3.597,-0.040944444
3.604,-0.041944444
3.611,-0.042944444
3.618,-0.042944444
3.625,-0.042944444
3.632,-0.042944444
3.639,-0.041944444
3.646,-0.042944444
3.653,-0.041944444
3.66,-0.041944444
3.667,-0.043944444
3.674,-0.045944444
3.681,-0.045944444
3.688,-0.043944444
3.695,-0.043944444
3.702,-0.043944444
3.709,-0.043944444
3.716,-0.045944444
3.723,-0.046944444
3.73,-0.047944444
3.737,-0.048944444
3.744,-0.046944444
3.751,-0.045944444
3.758,-0.045944444
3.765,-0.047944444
3.772,-0.046944444
3.779,-0.045944444
3.786,-0.043944444
3.793,-0.044944444
3.8,-0.045944444
3.807,-0.046944444
3.814,-0.047944444
3.821,-0.047944444
3.828,-0.046944444
3.835,-0.044944444
3.842,-0.045944444
3.849,-0.045944444
3.856,-0.043944444
3.863,-0.043944444
3.87,-0.044944444
3.877,-0.046944444
3.884,-0.047944444
3.891,-0.048944444
3.898,-0.050944444
3.905,-0.054944444
3.912,-0.053944444
3.919,-0.051944444
3.926,-0.047944444
3.933,-0.046944444
3.94,-0.046944444
3.947,-0.047944444
3.954,-0.048944444
3.961,-0.047944444
3.968,-0.046944444
3.975,-0.046944444
3.982,-0.045944444
3.989,-0.043944444
3.996,-0.042944444
4.004,-0.043944444
4.011,-0.043944444
4.018,-0.043944444
4.025,-0.041944444
4.032,-0.041944444
4.039,-0.041944444
4.046,-0.040944444
4.053,-0.036944444
4.06,-0.033944444
4.067,-0.032944444
4.074,-0.035944444
4.081,-0.036944444
4.088,-0.035944444
4.095,-0.034944444
4.102,-0.034944444
4.109,-0.034944444
4.116,-0.037944444
4.123,-0.039944444
4.13,-0.040944444
4.137,-0.042944444
4.144,-0.041944444
4.151,-0.040944444
4.158,-0.040944444
4.165,-0.039944444
4.172,-0.038944444
4.179,-0.038944444
4.186,-0.038944444
4.193,-0.037944444
4.2,-0.035944444
4.207,-0.033944444
4.214,-0.033944444
4.221,-0.032944444
4.228,-0.031944444
4.235,-0.034944444
4.242,-0.036944444
4.249,-0.036944444
4.256,-0.038944444
4.263,-0.039944444
4.27,-0.040944444
4.277,-0.041944444
4.284,-0.040944444
4.291,-0.040944444
4.298,-0.041944444
4.305,-0.042944444
4.312,-0.041944444
4.319,-0.038944444
4.326,-0.033944444
4.333,-0.032944444
4.34,-0.033944444
4.347,-0.034944444
4.354,-0.034944444
4.361,-0.034944444
4.368,-0.035944444
4.375,-0.034944444
4.382,-0.037944444
4.389,-0.039944444
4.396,-0.038944444
4.403,-0.037944444
4.41,-0.034944444
4.418,-0.030944444
4.425,-0.029944444
4.432,-0.029944444
4.439,-0.030944444
4.446,-0.032944444
4.453,-0.033944444
4.46,-0.032944444
4.467,-0.031944444
4.474,-0.032944444
4.481,-0.033944444
4.488,-0.032944444
4.495,-0.032944444
4.502,-0.031944444
4.509,-0.031944444
4.516,-0.033944444
4.523,-0.033944444
4.53,-0.031944444
4.537,-0.026944444
4.544,-0.025944444
4.551,-0.025944444
4.558,-0.024944444
4.565,-0.026944444
4.572,-0.027944444
4.579,-0.026944444
4.586,-0.023944444
4.593,-0.023944444
4.6,-0.023944444
4.607,-0.024944444
4.614,-0.028944444
4.621,-0.029944444
4.628,-0.030944444
4.635,-0.033944444
4.642,-0.033944444
4.649,-0.030944444
4.656,-0.024944444
4.663,-0.022944444
4.67,-0.022944444
4.677,-0.022944444
4.684,-0.024944444
4.691,-0.025944444
4.698,-0.024944444
4.705,-0.026944444
4.712,-0.027944444
4.719,-0.028944444
4.726,-0.027944444
4.733,-0.028944444
4.74,-0.028944444
4.747,-0.026944444
4.754,-0.027944444
4.761,-0.028944444
4.768,-0.029944444
4.775,-0.031944444
4.782,-0.031944444
4.789,-0.030944444
4.796,-0.027944444
4.803,-0.028944444
4.81,-0.029944444
4.817,-0.028944444
4.825,-0.030944444
4.832,-0.030944444
4.839,-0.029944444
4.846,-0.027944444
4.853,-0.028944444
4.86,-0.028944444
4.867,-0.027944444
4.874,-0.028944444
4.881,-0.027944444
4.888,-0.024944444
4.895,-0.023944444
4.902,-0.024944444
4.909,-0.026944444
4.916,-0.029944444
4.923,-0.028944444
4.93,-0.027944444
4.937,-0.026944444
4.944,-0.025944444
4.951,-0.026944444
4.958,-0.028944444
4.965,-0.031944444
4.972,-0.032944444
4.979,-0.030944444
4.986,-0.027944444
4.993,-0.029944444
5,-0.030944444
5.007,-0.031944444
5.014,-0.030944444
5.021,-0.029944444
5.028,-0.028944444
5.035,-0.029944444
5.042,-0.031944444
5.049,-0.033944444
5.056,-0.032944444
5.063,-0.030944444
5.07,-0.028944444
5.077,-0.025944444
5.084,-0.026944444
5.091,-0.026944444
5.098,-0.025944444
5.105,-0.024944444
5.112,-0.026944444
5.119,-0.027944444
5.126,-0.026944444
5.133,-0.027944444
5.14,-0.027944444
5.147,-0.024944444
5.154,-0.027944444
5.161,-0.029944444
5.168,-0.031944444
5.175,-0.028944444
5.182,-0.028944444
5.189,-0.028944444
5.196,-0.029944444
5.203,-0.028944444
5.21,-0.026944444
5.217,-0.025944444
5.224,-0.026944444
5.232,-0.025944444
5.239,-0.024944444
5.246,-0.023944444
5.253,-0.024944444
5.26,-0.025944444
5.267,-0.027944444
5.274,-0.029944444
5.281,-0.031944444
5.288,-0.035944444
5.295,-0.046944444
5.302,-0.050944444
5.309,-0.052944444
5.316,-0.054944444
5.323,-0.056944444
5.33,-0.059944444
5.337,-0.062944444
5.344,-0.059944444
5.351,-0.057944444
5.358,-0.056944444
5.365,-0.053944444
5.372,-0.053944444
5.379,-0.054944444
5.386,-0.051944444
5.393,-0.051944444
5.4,-0.054944444
5.407,-0.057944444
5.414,-0.057944444
5.421,-0.056944444
5.428,-0.055944444
5.435,-0.055944444
5.442,-0.053944444
5.449,-0.051944444
5.456,-0.049944444
5.463,-0.051944444
5.47,-0.052944444
5.477,-0.053944444
5.484,-0.056944444
5.491,-0.057944444
5.498,-0.056944444
5.505,-0.054944444
5.512,-0.050944444
5.519,-0.047944444
5.526,-0.048944444
5.533,-0.047944444
5.54,-0.048944444
5.547,-0.049944444
5.554,-0.051944444
5.561,-0.053944444
5.568,-0.055944444
5.575,-0.053944444
5.582,-0.050944444
5.589,-0.047944444
5.596,-0.047944444
5.603,-0.046944444
5.61,-0.046944444
5.617,-0.045944444
5.624,-0.038944444
5.631,-0.035944444
5.638,-0.034944444
5.646,-0.031944444
5.653,-0.029944444
5.66,-0.027944444
5.667,-0.024944444
5.674,-0.023944444
5.681,-0.023944444
5.688,-0.023944444
5.695,-0.025944444
5.702,-0.026944444
5.709,-0.027944444
5.716,-0.025944444
5.723,-0.024944444
5.73,-0.023944444
5.737,-0.023944444
5.744,-0.022944444
5.751,-0.022944444
5.758,-0.023944444
5.765,-0.021944444
5.772,-0.020944444
5.779,-0.021944444
5.786,-0.019944444
5.793,-0.018944444
5.8,-0.018944444
5.807,-0.017944444
5.814,-0.021944444
5.821,-0.023944444
5.828,-0.024944444
5.835,-0.024944444
5.842,-0.022944444
5.849,-0.020944444
5.856,-0.018944444
5.863,-0.022944444
5.87,-0.025944444
5.877,-0.027944444
5.884,-0.033944444
5.891,-0.032944444
5.898,-0.029944444
5.905,-0.030944444
5.912,-0.028944444
5.919,-0.028944444
5.926,-0.030944444
5.933,-0.031944444
5.94,-0.033944444
5.947,-0.035944444
5.954,-0.031944444
5.961,-0.030944444
5.968,-0.029944444
5.975,-0.027944444
5.982,-0.027944444
5.989,-0.028944444
5.996,-0.031944444
6.003,-0.032944444
6.01,-0.032944444
6.017,-0.032944444
6.024,-0.033944444
6.031,-0.030944444
6.038,-0.027944444
6.045,-0.025944444
6.053,-0.026944444
6.06,-0.028944444
6.067,-0.032944444
6.074,-0.033944444
6.081,-0.035944444
6.088,-0.037944444
6.095,-0.036944444
6.102,-0.035944444
6.109,-0.034944444
6.116,-0.036944444
6.123,-0.035944444
6.13,-0.036944444
6.137,-0.038944444
6.144,-0.038944444
6.151,-0.038944444
6.158,-0.039944444
6.165,-0.040944444
6.172,-0.039944444
6.179,-0.037944444
6.186,-0.038944444
6.193,-0.040944444
6.2,-0.042944444
6.207,-0.043944444
6.214,-0.041944444
6.221,-0.038944444
6.228,-0.035944444
6.235,-0.037944444
6.242,-0.039944444
6.249,-0.040944444
6.256,-0.041944444
6.263,-0.041944444
6.27,-0.042944444
6.277,-0.043944444
6.284,-0.042944444
6.291,-0.041944444
6.298,-0.041944444
6.305,-0.043944444
6.312,-0.040944444
6.319,-0.038944444
6.326,-0.040944444
6.333,-0.039944444
6.34,-0.039944444
6.347,-0.040944444
6.354,-0.038944444
6.361,-0.039944444
6.368,-0.041944444
6.375,-0.041944444
6.382,-0.040944444
6.389,-0.039944444
6.396,-0.038944444
6.403,-0.040944444
6.41,-0.041944444
6.417,-0.041944444
6.424,-0.039944444
6.431,-0.039944444
6.438,-0.039944444
6.445,-0.041944444
6.452,-0.038944444
6.46,-0.035944444
6.467,-0.034944444
6.474,-0.032944444
6.481,-0.032944444
6.488,-0.033944444
6.495,-0.037944444
6.502,-0.042944444
6.509,-0.047944444
6.516,-0.045944444
6.523,-0.040944444
6.53,-0.037944444
6.537,-0.040944444
6.544,-0.040944444
6.551,-0.039944444
6.558,-0.038944444
6.565,-0.036944444
6.572,-0.036944444
6.579,-0.037944444
6.586,-0.035944444
6.593,-0.035944444
6.6,-0.035944444
6.607,-0.035944444
6.614,-0.034944444
6.621,-0.033944444
6.628,-0.033944444
6.635,-0.034944444
6.642,-0.036944444
6.649,-0.037944444
6.656,-0.039944444
6.663,-0.035944444
6.67,-0.032944444
6.677,-0.031944444
6.684,-0.031944444
6.691,-0.031944444
6.698,-0.032944444
6.705,-0.033944444
6.712,-0.033944444
6.719,-0.032944444
6.726,-0.029944444
6.733,-0.030944444
6.74,-0.032944444
6.747,-0.033944444
6.754,-0.034944444
6.761,-0.033944444
6.768,-0.030944444
6.775,-0.028944444
6.782,-0.025944444
6.789,-0.025944444
6.796,-0.029944444
6.803,-0.030944444
6.81,-0.030944444
6.817,-0.031944444
6.824,-0.031944444
6.831,-0.034944444
6.838,-0.037944444
6.845,-0.036944444
6.852,-0.032944444
6.859,-0.028944444
6.867,-0.027944444
6.874,-0.027944444
6.881,-0.027944444
6.888,-0.026944444
6.895,-0.025944444
6.902,-0.024944444
6.909,-0.023944444
6.916,-0.021944444
6.923,-0.022944444
6.93,-0.024944444
6.937,-0.025944444
6.944,-0.028944444
6.951,-0.030944444
6.958,-0.030944444
6.965,-0.030944444
6.972,-0.029944444
6.979,-0.028944444
6.986,-0.030944444
6.993,-0.031944444
7,-0.031944444
7.007,-0.031944444
7.014,-0.030944444
7.021,-0.027944444
7.028,-0.023944444
7.035,-0.020944444
7.042,-0.019944444
7.049,-0.020944444
7.056,-0.024944444
7.063,-0.025944444
7.07,-0.026944444
7.077,-0.025944444
7.084,-0.023944444
7.091,-0.023944444
7.098,-0.024944444
7.105,-0.022944444
7.112,-0.021944444
7.119,-0.021944444
7.126,-0.019944444
7.133,-0.022944444
7.14,-0.025944444
7.147,-0.027944444
7.154,-0.026944444
7.161,-0.025944444
7.168,-0.023944444
7.175,-0.020944444
7.182,-0.021944444
7.189,-0.022944444
7.196,-0.023944444
7.203,-0.027944444
7.21,-0.028944444
7.217,-0.024944444
7.224,-0.020944444
7.231,-0.019944444
7.238,-0.018944444
7.245,-0.019944444
7.252,-0.020944444
7.259,-0.019944444
7.266,-0.015944444
7.273,-0.017944444
7.281,-0.018944444
7.288,-0.018944444
7.295,-0.020944444
7.302,-0.020944444
7.309,-0.020944444
7.316,-0.017944444
7.323,-0.013944444
7.33,-0.010944444
7.337,-0.010944444
7.344,-0.009944444
7.351,-0.009944444
7.358,-0.008944444
7.365,-0.009944444
7.372,-0.009944444
7.379,-0.010944444
7.386,-0.012944444
7.393,-0.013944444
7.4,-0.013944444
7.407,-0.013944444
7.414,-0.012944444
7.421,-0.011944444
7.428,-0.010944444
7.435,-0.012944444
7.442,-0.013944444
7.449,-0.013944444
7.456,-0.013944444
7.463,-0.012944444
7.47,-0.009944444
7.477,-0.006944444
7.484,-0.004944444
7.491,-0.004944444
7.498,-0.005944444
7.505,-0.008944444
7.512,-0.009944444
7.519,-0.009944444
7.526,-0.009944444
7.533,-0.008944444
7.54,-0.005944444
7.547,-0.002944444
7.554,-0.003944444
7.561,-0.005944444
7.568,-0.005944444
7.575,-0.003944444
7.582,5.56E-05
7.589,0.002055556
7.596,5.56E-05
7.603,-0.002944444
7.61,-0.004944444
7.617,-0.006944444
7.624,-0.003944444
7.631,-0.001944444
7.638,-0.000944444
7.645,5.56E-05
7.652,-0.000944444
7.659,5.56E-05
7.666,0.002055556
7.673,5.56E-05
7.68,5.56E-05
7.688,0.001055556
7.695,0.003055556
7.702,0.005055556
7.709,0.005055556
7.716,5.56E-05
7.723,-0.004944444
7.73,-0.007944444
7.737,-0.006944444
7.744,-0.004944444
7.751,-0.002944444
7.758,-0.000944444
7.765,5.56E-05
7.772,0.002055556
7.779,0.004055556
7.786,0.003055556
7.793,0.005055556
7.8,0.006055556
7.807,0.006055556
7.814,0.007055556
7.821,0.005055556
7.828,0.003055556
7.835,0.001055556
7.842,0.002055556
7.849,0.005055556
7.856,0.003055556
7.863,0.002055556
7.87,0.001055556
7.877,-0.000944444
7.884,5.56E-05
7.891,0.003055556
7.898,0.007055556
7.905,0.005055556
7.912,0.002055556
7.919,0.001055556
7.926,0.003055556
7.933,0.005055556
7.94,0.006055556
7.947,0.004055556
7.954,5.56E-05
7.961,5.56E-05
7.968,0.001055556
7.975,0.003055556
7.982,0.007055556
7.989,0.011055556
7.996,0.013055556
8.003,0.014055556
8.01,0.015055556
8.017,0.017055556
8.024,0.017055556
8.031,0.017055556
8.038,0.018055556
8.045,0.018055556
8.052,0.018055556
8.059,0.019055556
8.066,0.023055556
8.073,0.025055556
8.08,0.027055556
8.087,0.029055556
8.095,0.034055556
8.102,0.036055556
8.109,0.039055556
